"as_of_date","centre_name","country","locality","is_service_facility","is_genome_centre","location","number_sequencers","number_454","number_ga2","number_hiseq","number_miseq","number_ion_torrent","number_solid","number_pacbio"
"2013-07-19","Ankara University","Turkey","Ankara, Turkey","None","None","39.909736,32.871094","1","1","0","0","0","0","0","0"
"2013-07-19","ARC: Biotechnology Platform","South Africa","Pretoria, South Africa","True","True","-25.6491672067,28.1856179237","3","0","0","1","2","0","0","0"
"2013-07-19","Argonne National Laboratory","United States","IL, United States","True","True","41.7105983166,-87.9610061646","3","1","0","1","1","0","0","0"
"2013-07-19","Arizona State University","United States","AZ, United States","None","None","33.4198544699,-111.928431988","1","0","1","0","0","0","0","0"
"2013-07-19","Arizona State University DNASU Next-Gen Sequencing","United States","AZ, United States","True","None","33.4141052346,-111.927337646","2","0","1","1","0","0","0","0"
"2013-07-19","ARK-Genomics Roslin Institute","United Kingdom","Edinburgh, Midlothian, United Kingdom","True","True","55.863119,-3.154283","3","0","0","2","1","0","0","0"
"2013-07-19","Arkansas Children's Nutrition Center","United States","AR, United States","False","None","34.7398712789,-92.2922587395","1","0","1","0","0","0","0","0"
"2013-07-19","AROS Applied Biotechnology A/S","Denmark","Midtjylland, Denmark","True","False","56.1936690489,10.1690483093","2","0","0","2","0","0","0","0"
"2013-07-19","ARS-USDA","United States","CA, United States","False","False","37.883118523,-122.305812836","2","1","0","0","1","0","0","0"
"2013-07-19","Asuragen, Inc","United States","TX, United States","True","None","30.2126466341,-97.7441865206","4","0","1","0","1","2","0","0"
"2013-07-19","Atlanta Veteran's Hospital","United States","GA, United States","False","False","33.8014742603,-84.3113136292","1","1","0","0","0","0","0","0"
"2013-07-19","Atlantic Cancer Research Institute","Canada","NB, Canada","None","None","46.0972365382,-64.7868061066","2","0","0","0","0","1","0","0"
"2013-07-19","Auckland University","New Zealand","Auckland, New Zealand","None","False","-36.8506766985,174.771108627","2","1","0","0","0","1","0","0"
"2013-07-19","Australian Centre for Ecogenomics","Australia","QLD, Australia","True","False","-27.5000589042,153.012803793","3","1","0","0","0","2","0","0"
"2013-07-19","Australian Genome Research Facility","Australia","SA, Australia","True","True","-34.9693903205,138.6384058","1","0","0","0","0","1","0","0"
"2013-07-19","Australian Genome Research Facility, Victoria","Australia","VIC, Australia","True","False","-37.7978144184,144.956059456","13","1","2","5","1","4","0","0"
"2013-07-19","Australian National University","Australia","ACT, Australia","True","False","-35.2765763518,149.120411039","6","1","0","2","1","1","1","0"
"2013-07-19","Babraham Institute","United Kingdom","Cambridgeshire, United Kingdom","None","None","52.133524,0.204132","3","0","1","1","1","0","0","0"
"2013-07-19","Baker IDI Heart and Diabetes Institute","Australia","VIC, Australia","False","False","-37.8431392129,144.985198975","1","0","1","0","0","0","0","0"
"2013-07-19","Banaras Hindu University","India","Uttar-Pradesh, India","None","True","25.26588802,82.9937052727","2","0","0","1","1","0","0","0"
"2013-07-19","Barts Genome Centre","United Kingdom","Greater London, United Kingdom","True","None","51.5221023296,-0.100094676018","2","0","1","0","1","0","0","0"
"2013-07-19","Baseclear","Netherlands","Zuid-Holland, Netherlands","None","None","52.167457,4.474525","2","0","0","1","0","0","0","1"
"2013-07-19","Bay Zoltán Nonprofit Ltd.","Hungary","Budapest, Hungary","True","None","47.4550228751,19.0427398682","1","0","0","0","0","1","0","0"
"2013-07-19","Baylor  University Medical Center at Dallas","United States","TX, United States","None","None","32.7875631534,-96.7782211304","1","0","0","0","0","0","1","0"
"2013-07-19","BCRT","Germany","Berlin, Germany","True","True","52.5406060329,13.3458137512","3","0","0","1","1","1","0","0"
"2013-07-19","BCRT","Germany","Berlin, Germany","True","True","52.5412455045,13.3473372459","3","0","0","1","1","1","0","0"
"2013-07-19","Beckman Coulter Genomics (formerly Agencourt)","United States","MA, United States","True","True","42.5765964028,-70.9157180786","6","3","1","0","0","0","2","0"
"2013-07-19","Beijing Berry Genomics","China","北京市, China","True","True","39.9623855492,116.452159882","2","0","1","1","0","0","0","0"
"2013-07-19","Beijing Institute of Genomics","China","Beijing, China","True","True","39.9775147302,116.387357712","15","1","5","0","0","0","9","0"
"2013-07-19","Berlin Institute for Medical Systems Biology (BIMSB)","Germany","Berlin, Germany","None","None","52.6266941641,13.4997832775","4","1","0","2","0","0","0","1"
"2013-07-19","BGI (formerly Beijing Genomics Institute)","China","Shenzhen, Guangdong, China","True","True","22.59119,114.264035","166","1","0","137","0","1","27","0"
"2013-07-19","BGI@CHOP","United States","PA, United States","True","True","39.9460932693,-75.1949572563","12","0","0","10","1","1","0","0"
"2013-07-19","Bio21 Institute","Australia","VIC, Australia","False","False","-37.7971701108,144.952669144","1","0","0","0","0","1","0","0"
"2013-07-19","Biocant","Portugal","Coimbra, Portugal","True","None","40.3481751222,-8.61201095162","1","1","0","0","0","0","0","0"
"2013-07-19","Biochain Institute, Inc.","United States","39600 Eureka Dr., Newark, CA 94560, United States","True","False","37.5105428608,-121.997337341","1","0","0","0","1","0","0","0"
"2013-07-19","Biochain Institute, Inc.","United States","CA, United States","True","False","37.5106194557,-121.995931864","1","0","0","0","1","0","0","0"
"2013-07-19","Biodiversity Institute of Ontario","Canada","ON, Canada","None","None","43.5337404796,-80.2371883392","1","1","0","0","0","0","0","0"
"2013-07-19","Biodiversity Research Center, Academia Sinica","Taiwan","台北市, Taiwan","True","True","25.0427362338,121.612558365","4","1","2","0","0","0","1","0"
"2013-07-19","Biogemma","France","Clermont Ferrand, France","None","None","45.7885942873,3.13058853149","1","1","0","0","0","0","0","0"
"2013-07-19","Bioinformatic Center for Health Research,State Key Laboratory of Cardiovascular Diseases China","China","Beijing, China","True","None","39.96,116.35","1","0","0","1","0","0","0","0"
"2013-07-19","Biokart India Pvt Ltd","India","Karnataka, India","True","True","12.9563825873,77.7282714844","3","0","1","1","0","1","0","0"
"2013-07-19","Biologisch-Medizinisches Forschungszentrum‚ Genomics & Transcriptomics Labor","Germany","Nordrhein-Westfalen, Germany","True","None","51.1909635995,6.79302692413","4","1","0","1","0","1","1","0"
"2013-07-19","Biomedical Genomics laboratory (BIOGEM) UCSD","United States","La Jolla, United States","None","None","32.8767038559,-117.236840129","2","1","0","0","0","0","0","1"
"2013-07-19","Biomedical Sequencing Facility (CeMM & MedUniWien)","Austria","Wien, Austria","True","False","48.2194402857,16.3494586945","2","0","0","2","0","0","0","0"
"2013-07-19","BioMicroCenter","United States","MA, United States","None","None","42.3606527298,-71.0882592201","5","0","3","1","1","0","0","0"
"2013-07-19","Biomérieux","France","Rhône-Alpes, France","False","False","45.7823694973,4.70609664917","2","0","0","0","0","2","0","0"
"2013-07-19","Biopolis SL","Spain","Comunitat Valenciana, Spain","None","None","39.5158609017,-0.422823429108","1","1","0","0","0","0","0","0"
"2013-07-19","BIOTEC","Thailand","จ.ปทุมธานี, Thailand","None","None","14.0664340647,100.617771149","1","1","0","0","0","0","0","0"
"2013-07-19","BIOTEC TU Dresden","Germany","Sachsen, Germany","None","None","51.0560705418,13.7761688232","1","0","0","1","0","0","0","0"
"2013-07-19","BMGen University of Helsinki","Finland","Etelä-Suomi, Finland","True","None","60.1904387458,24.9070358276","1","0","1","0","0","0","0","0"
"2013-07-19","bmr-genomics","Italy","Veneto, Italy","True","True","45.413696,11.892915","1","1","0","0","0","0","0","0"
"2013-07-19","Bovine Functional Genomics Laboratory - USDA","United States","MD, United States","None","None","39.0236681065,-76.9233942032","1","0","1","0","0","0","0","0"
"2013-07-19","BRC Genomics Facility, Guy's Hospital","United Kingdom","Greater London, United Kingdom","False","True","51.5031329495,-0.0871181488037","2","0","0","2","0","0","0","0"
"2013-07-19","Broad Institute","United States","MA, United States","None","True","42.365013,-71.088066","101","2","43","50","0","4","0","1"
"2013-07-19","Brown University, Genomics Core Facility","United States","RI, United States","True","None","41.8296013363,-71.4030647278","2","0","1","1","0","0","0","0"
"2013-07-19","Burnham Institute for Biotechnology","United States","FL, United States","None","None","28.3962327117,-81.2713623047","1","0","0","0","0","0","1","0"
"2013-07-19","CAGEF, University of Toronto","Canada","Toronto, Canada","True","True","43.6613832715,-79.3996953964","2","0","2","0","0","0","0","0"
"2013-07-19","Cambridge Genomic Services","United Kingdom","Cambridge, United Kingdom","True","False","52.2017679967,0.121150016785","2","1","0","0","1","0","0","0"
"2013-07-19","Cambridge Research Institute","United Kingdom","Cambridgeshire, United Kingdom","False","False","52.177195,0.136213","4","0","2","1","1","0","0","0"
"2013-07-19","Cambridge Systems Biology Centre","United Kingdom","Cambridge Systems Biology Centre, United Kingdom","True","False","52.1990982564,0.122437477112","1","0","0","0","0","1","0","0"
"2013-07-19","Canada's Michael Smith Genome Sciences Centre","Canada","Vancouver, BC, Canada","True","True","49.2619795193,-123.117771149","13","0","0","12","0","1","0","0"
"2013-07-19","Cancer Center and Institute of Oncology, Gliwice","Poland","Śląskie, Poland","None","None","50.3012924723,18.6649990082","1","0","1","0","0","0","0","0"
"2013-07-19","Cancer Ohio State University","United States","OH, United States","None","None","39.9942844729,-83.0195188522","2","0","2","0","0","0","0","0"
"2013-07-19","Cancer Sciences Institute of Singapore","Singapore","Pasir Panjang, Singapore","None","None","1.29423816165,103.780674934","2","1","1","0","0","0","0","0"
"2013-07-19","CAREN - ECOBIO","France","Rennes, France","None","None","48.1146520236,-1.64846420288","1","1","0","0","0","0","0","0"
"2013-07-19","Carlos Chagas Institute - ICC/FIOCRUZ","Brazil","Curitiba, Paraná, Brazil","False","False","-25.4943983753,-49.3311023712","1","0","0","0","0","0","1","0"
"2013-07-19","Carlos Robello","Uruguay","Montevideo, Uruguay","True","True","-34.7416124988,-56.2939453125","1","0","1","0","0","0","0","0"
"2013-07-19","Carolinas Medical Center","United States","NC, United States","True","False","35.211965701,-80.860748291","1","0","0","0","0","1","0","0"
"2013-07-19","Carver Center for Genomics","United States","IA, United States","True","True","41.7385284694,-91.6479492188","2","1","1","0","0","0","0","0"
"2013-07-19","CCF Lerner Research Institute Genomics Core","United States","OH, United States","True","False","41.5002129897,-81.6199207306","1","0","1","0","0","0","0","0"
"2013-07-19","CDC, Atlanta GA USA","United States","GA, United States","False","False","33.9433599466,-84.5068359375","1","1","0","0","0","0","0","0"
"2013-07-19","CEA","France","Ile-de-France, France","None","None","48.850258,2.373047","1","0","1","0","0","0","0","0"
"2013-07-19","CEA - Institut de Génomique","France","Evry, France","None","True","48.6233497094,2.44042396545","23","3","0","17","2","1","0","0"
"2013-07-19","CeBiTec - Bielefeld University","Germany","North Rhine-Westphalia, Germany","True","None","52.0391349727,8.4907579422","4","1","1","0","1","1","0","0"
"2013-07-19","Cedars-Sinai Genomics Core","United States","Beverly Hills, United States","True","None","34.0762477845,-118.382234573","1","0","1","0","0","0","0","0"
"2013-07-19","Cedars-Sinai Genomics Core","United States","Beverly Hills, United States","True","None","34.0756168324,-118.381955624","1","0","1","0","0","0","0","0"
"2013-07-19","Ceinge - Biotecnologie Avanzate","Italy","Campania, Italy","True","None","40.8827320993,14.2121393683","2","2","0","0","0","0","0","0"
"2013-07-19","Center for Advanced Studies, Research and Development in Sardinia","Italy","Sardegna, Italy","False","None","38.991,8.937","6","0","2","4","0","0","0","0"
"2013-07-19","Center for Cellular and Molecular Biology","India","Andhra Pradesh, India","False","True","17.4209985924,78.5410237312","2","1","0","0","0","0","1","0"
"2013-07-19","Center for Developmental biology, RIKEN","Japan","2-2-3 Minatojima-minamimachi, Chuo-ku, Kobe 650-0047, Japan","False","False","34.6589456727,135.214297771","1","1","0","0","0","0","0","0"
"2013-07-19","Center for DNA Finger Printing and Diagnostics","India","Andhra Pradesh, India","False","True","17.2824639679,78.4259033203","1","0","0","0","0","0","1","0"
"2013-07-19","Center for Environmental Biotechnology","United States","TN, United States","None","None","35.8861121268,-83.8081741333","1","1","0","0","0","0","0","0"
"2013-07-19","Center for Functional genomics","United States","Rensselaer, NY, United States","True","False","42.6254966806,-73.7398910522","1","0","0","0","0","1","0","0"
"2013-07-19","Center for Genes, Environment and Health","United States","CO, United States","True","None","39.7393528648,-104.942994118","3","1","0","0","0","1","1","0"
"2013-07-19","Center for Genome Research","Italy","Emilia Romagna, Italy","False","True","44.6400784433,10.9305381775","1","1","0","0","0","0","0","0"
"2013-07-19","Center for Genomics and Personalized Medicine Department of Genetics Stanford University School of M","United States","CA, United States","None","None","37.4173452417,-122.150974274","14","0","5","7","0","0","1","1"
"2013-07-19","Center for Genomics and Transcriptomics, Tubingen","Germany","Baden-Württemberg, Germany","True","None","48.5380623777,9.05599594116","5","0","0","1","0","1","3","0"
"2013-07-19","Center for Human Genetics, UZLeuven","Belgium","Vlaams Gewest, Belgium","None","None","50.8787095605,4.67425346375","2","1","0","1","0","0","0","0"
"2013-07-19","Center for iPS Cell Research and Application, Kyoto University","Japan","Shogoin-Kawahara-cho 53, Sakyo-ku, Kyoto-shi, Japan","False","False","35.0195411636,135.773355961","3","1","1","0","0","0","1","0"
"2013-07-19","Center for Medical Genomics","Brazil","Ribeirao Preto, Brazil","True","True","-21.1624817973,-47.8495788574","1","0","1","0","0","0","0","0"
"2013-07-19","Center for Mitochondrial and Epigenomic Medicine at CHOP","United States","PA, United States","None","None","39.9464305037,-75.1953220367","1","0","0","0","0","1","0","0"
"2013-07-19","Center For Translational Genomics and Bioinformatics, San Raffaele Scientific Institute","Italy","Milan, Lombardia, Italy","True","True","45.5066927783,9.26454305649","2","0","0","1","1","0","0","0"
"2013-07-19","Central Microarray and Deep Sequencing Core Facility","Netherlands","Noord-Holland, Netherlands","False","False","52.3502215303,4.82611477375","2","0","0","2","0","0","0","0"
"2013-07-19","Central Veterinary institute of Wageningen UR","Netherlands","Flevoland, Netherlands","True","False","52.5384330651,5.54126143456","1","0","0","0","1","0","0","0"
"2013-07-19","Centre for Cancer Biology","Australia","SA, Australia","True","False","-34.9197453851,138.607732058","3","1","0","1","0","1","0","0"
"2013-07-19","Centre For Cellular And Molecular Platforms (C-CAMP)","India","Karnataka, India","True","None","13.0727376134,77.5781321526","2","1","0","1","0","0","0","0"
"2013-07-19","Centre for Genomic Regulation","Spain","Barcelona, Spain","None","None","41.3851807443,2.1942615509","4","1","2","1","0","0","0","0"
"2013-07-19","Centre for Genomic Research","United Kingdom","Liverpool, United Kingdom","True","True","53.4071782933,-2.96315431595","7","2","0","2","2","1","0","0"
"2013-07-19","Centre for Genomic Sciences, Hong Kong University","Hong Kong","Pokfulam, Hong Kong","True","False","22.267230552,114.128346026","2","1","1","0","0","0","0","0"
"2013-07-19","Centre for Molecular, Environmental, Genetic and Analytic Epidemiology","Australia","VIC, Australia","False","False","-37.8009087121,144.963558912","1","0","0","0","0","0","1","0"
"2013-07-19","Centre for Virus Research","United Kingdom","Glasgow, United Kingdom","False","False","55.8705556676,-4.29711341858","2","0","0","0","1","1","0","0"
"2013-07-19","Centre Jean Perrin","France","Clermont Ferrand, France","None","None","45.7591999902,3.09423923492","1","1","0","0","0","0","0","0"
"2013-07-19","Centrillion Biosciences","United States","Palo Alto, CA, United States","True","False","37.3890069889,-122.067707777","3","0","0","1","1","1","0","0"
"2013-07-19","Centro Andaluz de Biologia Molecular y Medicina Regenerativa (CABIMER)","Spain","Seville, Andalusia, Spain","True","None","37.1603165467,-6.08642578125","1","0","0","0","0","1","0","0"
"2013-07-19","Centro Avançado de Tecnologias em Genômica","Brazil","SP, Brazil","True","False","-23.566505,-46.7276","1","1","0","0","0","0","0","0"
"2013-07-19","Centro de Genomica de Alto Desempenho do Distrito Federal","Brazil","Brasilia, Brazil","True","True","-15.7420939883,-47.9034590721","2","1","1","0","0","0","0","0"
"2013-07-19","Centro de Investigaciones Biomédicas de La Rioja","Spain","Logroño, Spain","True","False","42.4512251177,-2.42494493723","1","0","1","0","0","0","0","0"
"2013-07-19","Centro Internacional de Pesquisa e Ensino","Brazil","São Paulo, Brazil","False","False","-23.562748013,-46.6366946697","4","0","0","0","0","0","4","0"
"2013-07-19","Centro Nacional de Análisis Genómico (CNAG)","Spain","Barcelona, Spain","True","True","41.3820252035,2.11709976196","12","0","2","10","0","0","0","0"
"2013-07-19","Centro Nacional de Microbiologia ISCIII","Spain","Madrid, Spain","True","True","40.4515844602,-3.85585784912","1","1","0","0","0","0","0","0"
"2013-07-19","Centro Superior de Investigación en Salud Pública","Spain","Valencia, Spain","True","True","39.4814211136,-0.353171825409","1","1","0","0","0","0","0","0"
"2013-07-19","Chair of Animal Breeding, Technische Universitaet Muenchen","Germany","Bavaria, Germany","None","None","48.4017705152,11.7234420776","1","0","0","1","0","0","0","0"
"2013-07-19","Chang Gung University Genomics Core","Taiwan","桃園縣, Taiwan","False","True","25.0335055439,121.390686035","2","0","0","0","0","1","1","0"
"2013-07-19","Children's Hospital Boston - Waltham (Genetic Diagnostic Laboratory)","United States","Waltham, MA, United States","True","False","42.3711006126,-71.2490844727","1","0","0","0","0","1","0","0"
"2013-07-19","Children's Hospital of Philadelphia Nucleic Acid Core Facility","United States","PA, United States","True","False","39.9473681712,-75.1957726479","7","0","0","0","0","1","6","0"
"2013-07-19","Children's Hospital of Pittsburgh","United States","PA, United States","False","False","40.4669313204,-79.9531745911","1","0","0","0","0","0","1","0"
"2013-07-19","Children’s Hospital Boston Molecular Genetics Core Facility","United States","Boston, MA, United States","True","False","42.340592,-71.092873","1","0","0","0","0","0","1","0"
"2013-07-19","CIBIO","Italy","Trentino-Alto Adige, Italy","None","None","46.0748978335,11.1212539673","2","0","0","1","0","1","0","0"
"2013-07-19","CIC bioGUNE","Spain","Euskadi, Spain","True","True","43.2652063184,-2.84545898438","2","0","1","1","0","0","0","0"
"2013-07-19","CIC bioGUNE","Spain","Derio, Spain","True","False","43.295996,-2.867582","2","0","1","1","0","0","0","0"
"2013-07-19","CIDR Johns Hopkins","United States","MD, United States","None","None","39.298854559,-76.592195034","1","0","0","1","0","0","0","0"
"2013-07-19","Cincinnati Children's Hospital Medical Center","United States","OH, United States","True","None","39.1415776728,-84.5018148422","1","0","1","0","0","0","0","0"
"2013-07-19","Clark Atlanta University","United States","GA, United States","True","None","33.7503205807,-84.4093322754","1","0","0","0","0","0","1","0"
"2013-07-19","Cleveland Clinic Lerner Research Center Genomics Core","United States","Cleveland, Ohio, United States","True","False","41.50051,-81.61902","1","0","1","0","0","0","0","0"
"2013-07-19","Cleveland Clinic Lerner Research Center Genomics Core","United States","Cleveland, Ohio, United States","True","False","41.50051,-81.61902","1","0","1","0","0","0","0","0"
"2013-07-19","CNG","France","Evry, France","True","None","48.6232929748,2.4408531189","13","0","0","11","1","1","0","0"
"2013-07-19","CNIC","Spain","Comunidad de Madrid, Spain","False","False","40.4767171944,-3.69610548019","1","0","1","0","0","0","0","0"
"2013-07-19","CNIO","Spain","Comunidad de Madrid, Spain","None","False","40.4765702944,-3.69418501854","2","1","1","0","0","0","0","0"
"2013-07-19","CNR, Institute of Genetics and Biophysics ""A. Buzzati-Traverso"" (IGB)","Italy","Campania, Italy","True","None","40.8429048773,14.2492675781","1","0","0","0","0","0","1","0"
"2013-07-19","CNRS Gif Sur Yvette","France","Ile-de-France, France","True","None","48.7061425982,2.13040351868","1","0","1","0","0","0","0","0"
"2013-07-19","Cofactor Genomics","United States","MO, United States","None","None","38.6377239221,-90.2248764038","3","1","1","0","0","0","1","0"
"2013-07-19","CoFactor Genomics, 2","United States","MO, United States","True","False","38.6354108954,-90.2246618271","4","0","2","0","0","0","2","0"
"2013-07-19","Cologne Center for Genomics","Germany","North Rhine-Westphalia, Germany","None","None","50.9265724762,6.92351102829","4","1","3","0","0","0","0","0"
"2013-07-19","Cologne Center for Genomics","Germany","Cologne, Germany","True","None","50.919917646,6.90353393555","4","1","3","0","0","0","0","0"
"2013-07-19","Columbia Genome Center at Columbia Univeristy Medical Center","United States","NY, United States","True","True","40.8399504331,-73.9385247231","4","1","0","1","0","0","2","0"
"2013-07-19","Computational and Synthetic Biology Laboratory (CSBL) at Korea University","South Korea","Seoul, South Korea","True","False","37.5855512078,127.026329041","1","0","0","0","1","0","0","0"
"2013-07-19","Computational Medicine - Karolinska University Hospital","Sweden","Stockholm, Sweden","None","None","59.3510021944,18.0333709717","1","0","0","1","0","0","0","0"
"2013-07-19","Core Facilities Genome Sequencing Laboratory The Chinese University of Hong Kong","Hong Kong","Centralized Science Laboratories Building, Chinese Univ. of Hong Kong, Hong Kong","True","False","22.4189234357,114.208213091","1","1","0","0","0","0","0","0"
"2013-07-19","Core Genotyping Facility","United States","MD, United States","False","True","39.1301934024,-77.1751785278","5","2","0","2","0","1","0","0"
"2013-07-19","Core Unit for Applied Genomics Tuebingen","Germany","Baden-Württemberg, Germany","None","None","48.5261407941,9.05157566071","5","1","3","0","1","0","0","0"
"2013-07-19","Cornell University Life Sciences Core Laboratories Center","United States","NY, United States","None","None","42.448605,-76.47995","4","1","2","1","0","0","0","0"
"2013-07-19","CosmosID™ Inc","United States","MD, United States","False","False","38.9926047706,-76.9386291504","1","0","0","1","0","0","0","0"
"2013-07-19","Covance Genomics Laboratory","United States","WA, United States","True","False","47.6225952637,-122.33757019","2","0","2","0","0","0","0","0"
"2013-07-19","CRA-GPG","Italy","Fiorenzuola d'Arda (PC), Italy","False","False","44.9273160616,9.89443302155","1","0","1","0","0","0","0","0"
"2013-07-19","CRAG","Spain","Catalunya, Spain","True","False","41.498935349,2.10851669312","2","1","0","0","0","1","0","0"
"2013-07-19","Creative Genomics","United States","NY, United States","None","None","40.918507,-73.063803","2","1","1","0","0","0","0","0"
"2013-07-19","CRIBI - University of Padova","Italy","Veneto, Italy","True","True","45.408454,11.876564","1","0","0","0","0","0","1","0"
"2013-07-19","CSF ","Austria","Wien, Austria","False","False","48.189382,16.40188","4","0","2","2","0","0","0","0"
"2013-07-19","CSHL","United States","NY, United States","False","False","40.8006210629,-73.4684085846","15","1","0","9","2","1","0","2"
"2013-07-19","Dan Geschwind's Lab","United States","CA, United States","False","False","34.0702935423,-118.4441185","1","0","0","0","0","0","1","0"
"2013-07-19","Dana Farber Cancer Institute","United States","MA, United States","True","None","42.336976,-71.106606","1","0","1","0","0","0","0","0"
"2013-07-19","Dartmouth Medical School","United States","NH, United States","None","False","43.676438868,-72.2721862793","1","0","1","0","0","0","0","0"
"2013-07-19","Data Production Facility","United States","Los Angeles, United States","True","True","34.0651743368,-118.203277588","3","0","2","1","0","0","0","0"
"2013-07-19","David H Murdock Research Institute","United States","kannapolis NC, United States","True","True","35.4696179712,-80.5407714844","4","1","2","1","0","0","0","0"
"2013-07-19","Debrah","Italy","Friuli-Venezia Giulia, Italy","True","True","45.6442844282,13.8487654924","2","0","0","1","0","0","1","0"
"2013-07-19","Debrecen Clinical Genomics Center","Hungary","Hajdú-Bihar, Hungary","True","None","47.5568788431,21.6255569458","2","1","0","1","0","0","0","0"
"2013-07-19","Debrecen Clinical Genomics Center","Hungary","Debrecen, Hungary","True","True","47.5566037056,21.6262435913","1","0","0","1","0","0","0","0"
"2013-07-19","deCODE Genetics","Iceland","Reykjavik, Iceland","True","False","64.1357190033,-21.9447612762","2","0","2","0","0","0","0","0"
"2013-07-19","Delaware Biotechnology Institute","United States","DE, United States","True","True","39.677904,-75.734918","2","0","0","1","0","0","0","1"
"2013-07-19","Delta Bio 2000 kft.","Hungary","Csongrád, Hungary","True","True","46.245400802,20.1649332047","1","0","0","0","0","1","0","0"
"2013-07-19","Departement de Genetique Medicale","France","Provence-Alpes-Côte d'Azur, France","False","False","43.2961989066,5.39154052734","1","0","0","0","0","1","0","0"
"2013-07-19","Department of Biochemistry, University of Cambridge","United Kingdom","Cambridgeshire, United Kingdom","True","None","52.200874,0.119476","1","1","0","0","0","0","0","0"
"2013-07-19","Department of Genetics and Genome Sciences, Genomics Core Facility ","United States","OH, United States","False","False","41.504527854,-81.6056728363","4","0","1","1","1","1","0","0"
"2013-07-19","Department of Genetics, La Trobe University","Australia","VIC, Australia","False","False","-37.7215776113,145.048370361","1","0","0","0","0","1","0","0"
"2013-07-19","Department of Genetics, University of Melbourne","Australia","VIC, Australia","False","False","-37.797907673,144.958859682","1","0","0","0","0","1","0","0"
"2013-07-19","Department of Human Genetics at Radboud University Nijmegen Medical Center","Netherlands","Gelderland, Netherlands","False","True","51.839172,5.866699","8","1","0","0","0","2","2","0"
"2013-07-19","Department of Medical Genetics, Medical University of Warsaw","Poland","Masovian Voivodeship, Poland","None","None","52.2077052926,20.9812474251","1","0","0","1","0","0","0","0"
"2013-07-19","Department of Microbiology and Immunology, University of Melbourne","Australia","VIC, Australia","False","False","-37.7987300037,144.958612919","1","0","0","0","0","1","0","0"
"2013-07-19","Department of Pathology, University of Melbourne","Australia","VIC, Australia","False","False","-37.7993488652,144.958510995","1","0","0","0","0","1","0","0"
